Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.69%
ICICI Bank Ltd.,Financial,Equity,8.92%
Axis Bank Ltd.,Financial,Equity,8.90%
Maruti Suzuki India Ltd.,Automobile,Equity,4.81%
Kotak Mahindra Bank Ltd.,Financial,Equity,4.29%
SBI Life Insurance Company Ltd.,Insurance,Equity,4.15%
Cipla Ltd.,Healthcare,Equity,3.81%
HCL Technologies Ltd.,Technology,Equity,3.76%
Bharti Airtel Ltd.,Communication,Equity,3.54%
Tata Steel Ltd.,Metals & Mining,Equity,2.92%
Piramal Pharma Ltd.,Healthcare,Equity,2.81%
Nexus Select Trust,Construction,REITs,2.37%
Bajaj Auto Ltd.,Automobile,Equity,2.22%
Interglobe Aviation Ltd.,Services,Equity,2.17%
Eicher Motors Ltd.,Automobile,Equity,2.08%
Hyundai Motor India Ltd.,Automobile,Equity,2.01%
State Bank of India,Financial,Equity,2.00%
Sapphire Foods India Ltd.,Services,Equity,1.84%
Bosch Ltd.,Automobile,Equity,1.80%
Metropolis Healthcare Ltd.,Healthcare,Equity,1.74%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.70%
Karur Vysya Bank Ltd.,Financial,Equity,1.56%
CIE Automotive India Ltd.,Metals & Mining,Equity,1.53%
Escorts Kubota Ltd.,Automobile,Equity,1.53%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.46%
Chalet Hotels Ltd.,Services,Equity,1.32%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.92%
Embassy Office Parks REIT,Construction,REITs,0.89%
Birlasoft Ltd.,Technology,Equity,0.82%
Restaurant Brands Asia Ltd.,Services,Equity,0.72%
GOI,Sovereign,GOI Sec,0.33%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.02%
