Name,Sector,Instrument,Assets
Larsen & Toubro Ltd.,Construction,Equity,9.39%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,4.33%
Shree Cement Ltd.,Construction,Equity,3.65%
NCC Ltd.,Construction,Equity,3.64%
NTPC Ltd.,Energy,Equity,3.47%
Vedanta Ltd.,Metals & Mining,Equity,3.03%
ICICI Bank Ltd.,Financial,Equity,2.99%
Reliance Industries Ltd.,Energy,Equity,2.76%
Cummins India Ltd.,Capital Goods,Equity,2.69%
Kalpataru Projects International Ltd.,Capital Goods,Equity,2.57%
CESC Ltd.,Energy,Equity,2.56%
HDFC Bank Ltd.,Financial,Equity,2.42%
JM Financial Ltd.,Financial,Equity,2.37%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,2.12%
AIA Engineering Ltd.,Metals & Mining,Equity,2.09%
Ambuja Cements Ltd.,Construction,Equity,1.99%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.86%
Gujarat Gas Ltd.,Energy,Equity,1.86%
Oil And Natural Gas Corporation Ltd.,Energy,Equity,1.83%
State Bank of India,Financial,Equity,1.83%
Interglobe Aviation Ltd.,Services,Equity,1.77%
Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,1.69%
Axis Bank Ltd.,Financial,Equity,1.67%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.67%
Bajaj Finserv Ltd.,Financial,Equity,1.60%
Delhivery Ltd.,Services,Equity,1.49%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.46%
KSB Ltd.,Capital Goods,Equity,1.45%
Bharti Airtel Ltd.,Communication,Equity,1.38%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.32%
Inox India Ltd.,Metals & Mining,Equity,1.23%
Tata Steel Ltd.,Metals & Mining,Equity,1.18%
ACC Ltd.,Construction,Equity,1.13%
CIE Automotive India Ltd.,Metals & Mining,Equity,0.90%
PSP Projects Ltd.,Construction,Equity,0.89%
Indusind Bank Ltd.,Financial,Equity,0.81%
Grasim Industries Ltd.,Construction,Equity,0.76%
Reserve Bank of India,Financial,T-Bills,0.75%
RHI Magnesita India Ltd.,Construction,Equity,0.69%
Jindal Stainless Ltd.,Metals & Mining,Equity,0.66%
IRB Infrastructure Developers Ltd.,Construction,Equity,0.65%
Dalmia Bharat Ltd.,Construction,Equity,0.61%
Embassy Office Parks REIT,Construction,REITs,0.60%
Chemplast Sanmar Ltd.,Chemicals,Equity,0.60%
Power Grid Corporation Of India Ltd.,Energy,Equity,0.59%
JSW Steel Ltd.,Metals & Mining,Equity,0.58%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.54%
,,Equity,0.51%
Container Corporation Of India Ltd.,Services,Equity,0.50%
Route Mobile Ltd.,Technology,Equity,0.48%
Prestige Estates Projects Ltd.,Construction,Equity,0.46%
GMM Pfaudler Ltd.,Capital Goods,Equity,0.43%
R R Kabel Ltd.,Consumer Discretionary,Equity,0.42%
BEML Ltd.,Capital Goods,Equity,0.40%
Rain Industries Ltd.,Chemicals,Equity,0.37%
Oberoi Realty Ltd.,Construction,Equity,0.36%
Heidelberg Cement India Ltd.,Construction,Equity,0.35%
Afcons Infrastructure Ltd.,Construction,Equity,0.34%
NHPC Ltd.,Energy,Equity,0.34%
Gujarat Pipavav Port Ltd.,Services,Equity,0.32%
Birla Corporation Ltd.,Construction,Equity,0.29%
Universal Cables Ltd.,Capital Goods,Equity,0.28%
Gateway Distriparks Ltd.,Services,Equity,0.28%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.24%
SKF India Ltd.,Capital Goods,Equity,0.23%
Sagar Cements Ltd.,Construction,Equity,0.21%
Reserve Bank of India,Financial,T-Bills,0.04%
Reserve Bank of India,Financial,T-Bills,0.03%
Reserve Bank of India,Financial,T-Bills,0.03%
Reserve Bank of India,Financial,T-Bills,0.02%
Reserve Bank of India,Financial,T-Bills,0.01%
