Name,Sector,Instrument,Assets
Trent Ltd.,Services,Equity,5.49%
Eternal Ltd.,Services,Equity,5.18%
Bharat Electronics Ltd.,Capital Goods,Equity,3.94%
PTC Industries Ltd.,Metals & Mining,Equity,3.82%
Bharti Airtel Ltd.,Communication,Equity,3.79%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,3.77%
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,3.67%
Suzlon Energy Ltd.,Capital Goods,Equity,3.51%
Bharat Dynamics Ltd.,Capital Goods,Equity,3.45%
Bajaj Finance Ltd.,Financial,Equity,3.27%
Coforge Ltd.,Technology,Equity,3.27%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,3.27%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,3.25%
Samvardhana Motherson International Ltd.,Automobile,Equity,3.21%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.17%
Inox Wind Ltd.,Capital Goods,Equity,3.11%
Waaree Energies Ltd.,Energy,Equity,3.07%
Kalyan Jewellers India Ltd.,Consumer Discretionary,Equity,2.86%
Religare Enterprises Ltd.,Financial,Equity,2.70%
Multi Commodity Exchange Of India Ltd.,Services,Equity,2.70%
V2 Retail Ltd.,Services,Equity,2.66%
The Phoenix Mills Ltd.,Construction,Equity,2.65%
Prestige Estates Projects Ltd.,Construction,Equity,2.60%
,,Equity,2.56%
Onesource Specialty Pharma Ltd.,Healthcare,Equity,2.53%
Kaynes Technology India Ltd.,Capital Goods,Equity,2.47%
Zen Technologies Ltd.,Others,Equity,2.46%
GE Vernova T&D India Ltd.,Capital Goods,Equity,2.39%
Apar Industries Ltd.,Diversified,Equity,2.32%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,2.28%
Angel One Ltd.,Financial,Equity,2.08%
