Name,Sector,Instrument,Assets
Coforge Ltd.,Technology,Equity,10.13%
Persistent Systems Ltd.,Technology,Equity,9.53%
Kalyan Jewellers India Ltd.,Consumer Discretionary,Equity,7.18%
Polycab India Ltd.,Capital Goods,Equity,4.40%
Trent Ltd.,Services,Equity,4.37%
Max Healthcare Institute Ltd.,Healthcare,Equity,4.20%
One97 Communications Ltd.,Services,Equity,3.73%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,3.72%
Bharti Hexacom Ltd.,Communication,Equity,3.66%
Kei Industries Ltd.,Capital Goods,Equity,2.78%
KPIT Technologies Ltd.,Technology,Equity,2.40%
Tube Investments Of India Ltd.,Automobile,Equity,2.31%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.25%
The Indian Hotels Company Ltd.,Services,Equity,2.11%
Prestige Estates Projects Ltd.,Construction,Equity,1.82%
Hitachi Energy India Ltd.,Capital Goods,Equity,1.70%
Mazagon Dock Shipbuilders Ltd.,Capital Goods,Equity,1.63%
Balkrishna Industries Ltd.,Automobile,Equity,1.59%
Indraprastha Gas Ltd.,Energy,Equity,1.13%
The Phoenix Mills Ltd.,Construction,Equity,1.10%
Voltas Ltd.,Consumer Discretionary,Equity,1.03%
Mankind Pharma Ltd.,Healthcare,Equity,0.86%
Supreme Industries Ltd.,Chemicals,Equity,0.85%
JIO Financial Services Ltd.,Financial,Equity,0.09%
Voltas Ltd.,Consumer Discretionary,Futures,-0.74%
The Indian Hotels Company Ltd.,Services,Futures,-0.76%
Trent Ltd.,Services,Futures,-0.79%
Jindal Steel & Power Ltd.,Metals & Mining,Futures,-0.88%
One97 Communications Ltd.,Services,Futures,-1.63%
Dixon Technologies (India) Ltd.,Capital Goods,Futures,-1.71%
