Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,13.45%
Max Healthcare Institute Ltd.,Healthcare,Equity,6.68%
Divi's Laboratories Ltd.,Healthcare,Equity,6.00%
Cipla Ltd.,Healthcare,Equity,4.79%
Lupin Ltd.,Healthcare,Equity,4.72%
Lonza Group Ag,Healthcare,ADS/ADR,4.38%
Mankind Pharma Ltd.,Healthcare,Equity,3.76%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,3.72%
Jupiter Life Line Hospitals Ltd.,Healthcare,Equity,3.54%
Ami Organics Ltd.,Healthcare,Equity,3.38%
Poly Medicure Ltd.,Healthcare,Equity,3.36%
Fortis Healthcare Ltd.,Healthcare,Equity,3.33%
Aether Industries Ltd.,Chemicals,Equity,3.22%
Abbott India Ltd.,Healthcare,Equity,3.06%
Laurus Labs Ltd.,Healthcare,Equity,3.06%
Aster DM Healthcare Ltd.,Healthcare,Equity,2.95%
Alkem Laboratories Ltd.,Healthcare,Equity,2.70%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,2.68%
Aurobindo Pharma Ltd.,Healthcare,Equity,2.57%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,2.48%
Gland Pharma Ltd.,Healthcare,Equity,2.40%
Biocon Ltd.,Healthcare,Equity,1.89%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.72%
Vijaya Diagnostic Centre Ltd.,Healthcare,Equity,1.67%
Concord Biotech Ltd.,Healthcare,Equity,1.29%
Pfizer Ltd.,Healthcare,Equity,1.11%
Akums Drugs And Pharmaceuticals Ltd.,Healthcare,Equity,1.09%
Sanofi Consumer Healthcare India Ltd.,Healthcare,Equity,1.00%
Gufic Biosciences Ltd.,Healthcare,Equity,0.93%
Reserve Bank of India,Financial,T-Bills,0.08%
